,,,,,,,,,
,,Misconception that is not in the master sheet,,Already in the master sheet,,,,,
,p. 7,"Car Wash Problem (inverse variation)
Metro Car Sales hires washers to wash the cars in their lot. The manager knows that 36
washers can wash all the cars in 1 hour.
a) What if only half as many washers worked? How long would it take 18 washers to
wash all the cars? How long for 72 washers? How long for 9 washers? How long for
4 washers?
b) Describe how the manager could figure out how many hours it would take to wash
the cars for any size group of washers.
c) Write an equation for finding the number of hours it takes to wash the cars if you know
the number of washers. Let H represent the number of hours it takes, and let S represent the number of washers.
d) Can you use your equation to find how long it would take 10 washers?","SELF

The participants for this study were selected from a self-contained Grade 6
classroom in an elementary school located in a midsized midwestern town. Ten
students, five boys and five girls, were randomly selected from the middle to high
mathematics achievement levels. Students from the low achievement group were
not included in the study because the teacher believed that they would be less likely
than students in the other two groups to express their thoughts verbally. ","They had difficulty computing the time required in other cases. Given that 36
washers take I hour, 9 of the 10 students responded that 18 washers would take
twice as long and 8 of the 10 students responded that 72 washers would take half
as long. When the 18 was halved to 9 washers, only 5 of the 10 students doubled
the time again.",only one student correctly answered 9 hours,"In the Car Wash Problem, which is an inverse variation situation, students could
compute the time required to wash the cars given half or twice as many washers,
but they had difficulty computing the time required in other cases.

Students had difficulty doing the operation using other data","Number of Students Successfully Completing Each Task by Item:

                                                                                       Items
Tasks                                             Refund   Wage   Border   Concert   Fold   Car
Computes specific cases                  10         10           9            10        10      1 

Describes relation:
Recursive                                            0           1            0            5          7        0
Functional                                            9           8            9            2          3        5

Represents symbolically                      7           6            7            2          3        5

Uses equation to:
Solve                                                    2           3            2            1a        -         2
Substitute                                             3           0             -            1         4         1",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Kieran and Sfard (1999),student knows the rules for simplifying equations but has no conceptual understanding as to why such rules exist. The student believed that the rules (in this case distributive property) exist simply so everyone would solve the equation in the same way -  thus creating a uniform approach,,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"Some students may understand the concepts of solving equations but are bogged down by the computation - usually with negative numbers, decimals, or fractions (Wu, 2001)",,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,lacking on how and if students are checking their solutions. ,,,,"83 students, 29 did not check at all, and only 10 students were consistently correct in checking.",,,Perrenet and Wolters (1994),
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
the reversal error,Write an equation using the variables Sand P to represent the following statement: There are six times as many students as professors at  this university. Use S for the number of students and P for the number of professors.,,,,,,,,
,"(Abouchedid & Nasser, 2000; Clement, 85 
1982; Clement, Narode, & Rosnick, 1981; Fisher, 1988; Philipp, 1992b; Rosnick & Clement, 1980; Swan, 2000; Wollman, 1983)",,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"First students exhibit a strong proclivity towards performing a left-to-right word-order match ... thus the common error, 6S =P. Second, students often confuse the distinction between variables and labels. The symbols ""S"" and ""P"" are often interpreted as labels for ""students"" and ""professors,"" rather than as variables that represent the ""number of students"" and the ""number of professors"". (Lockhead & Mestre, 1988, pp. 129-130)",,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,"Wollman (1983) attributed the sources of error to working quickly, not checking the equation, failure to connect the equation to the meaning of the sentence, and the use of non-algebraic symbols",,,,,,,reveral order error,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Linchevski and Herscovics (1996),"students had difficulty canceling (using inverse operations) within equations. For example, given the equation 12n + 30 = 13n + 19, students rewrote the equation as 12n + 30 = 12n + In + 19 and were thus able to simplify to 30 = In +19 and then solve the resulting equation.",,,,,,,,
,Page,Question,Survey,Incorrect Answer,Correct Answer,misconception,percentage,Gap,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Vlassis's (2008),4 -x = 5.,"Vlassis found that students had three main difficulties with this equation. First, some students tried to find a number that could be substituted into the equation (e.g. guess and check) and could not arrive at an answer because the lowest number they would consider was zero (did not consider using negatives).  Second, several students who originally obtained the solution ofx =-1 became confused when they checked their solution by plugging x = -1 back into the original equation: 4 -(-1) = 5. These students believed that it was not possible to have two ""subtraction"" signs placed side by side. A final difficultly students had with this equation was that they simply omitted the negative sign. After subtracting four from both sides of the equation instead of simplifying to -x = 1 they simplified to x = 1, resulting in an incorrect solution",,,,,,,
,-6x = 24,"students attempted to use the substitution (guess and check) method and incorrectly obtained the answer x = 4 and because of the negative sign, some students viewed -6x as -6 + x (sum) or -6-x (difference).",,,,,,,
,,,,,,,,,
,"Overall, students appear to have a variety of difficulties with solving and writing algebraic equations. The research suggested that students struggle with the following: checking their solution (Perrenet & Wolters, 1994); symbolic notation (Nathan & Koedinger, 2000; Swafford & Langrall, 2000); reversal order error (Abouchedid & Nasser, 2000; Clement, 1982; Clement, Lochhead et aI., 1981; Fisher, 1988; Philipp, 1992b; Rosnick & Clement, 1980; Swan, 2000); combining (or not combining) like terms (Ashlock, 2006); inverse operations (Ashlock, 2006); distributive property (Ashlock, 2006); negative numbers (Vlassis, 2008; Wu, 2001); and fractions and decimals (Wu, 2001).",,,,,,,,
