"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3. Number Operations","7.NS.A.1
Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.","Perform computations with rational numbers ","Attempted to write a fraction in lower terms by estimating when you cannot divide evenly (e.g. 3/8 to 1/4)","Ashlock (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Simplified the numerator but not the denominator","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Added/subtracted the numerators and added/subtracted the denominators (overgeneralized whole number operations)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Identified a common denominator but failed to change the fractions into equivalent form","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Subtracted mixed numbers without necessary regrouping and instead subtracting the smaller number from the larger","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Regrouped incorrectly – either by mistakenly using base ten reasoning or some other error","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Multiplied fractions incorrectly by cross-multiplying (as if solving a proportion) and then applied an invented algorithm to get the answers (such as adding the sum of the two cross multiplications)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Incorrectly changing a whole number into a fraction (e.g. changing the whole number 6 into 6/6 instead of 6/1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Divided fractions incorrectly by dividing the numerators and then dividing the denominators (overgeneralizing whole number operations)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Applied only part of the “invert and multiply” algorithm – student may remember to multiply but forget to invert the second fraction","Brown, G., & Quinn, R. J. (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Ignored place value concepts to put the decimal in the answer","Ashlock (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Placed the decimal point in the incorrect place when multiplying or dividing                ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Not knowing what sign to put on the sum involving adding a positive and negative number","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Making the sum of two negatives a positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Not using place value concept to put the decimal in the correct place in the answer","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","When subtracting - not regrouping but instead taking the smaller number minus the larger (reversing order)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Placing the decimal point in the incorrect place when multiplying - multiple reasons","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.NS.B.2
Fluently divide multi-digit numbers using the standard algorithm.","Describe the effect of multiplying and dividing by numbers including the effect of multiplying or dividing a rational number by: 

Zero, or
• A number less than zero, or
• A number between zero and one
• One, or
• A number greater than one.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.NS.B.3
Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.NS.A.2
Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.NS.A.1
Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem.","Interpret rational number operations and the relationships between them	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.NS.C.8
Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.","Solve application problems involving rational numbers and operations using exact answers or estimates as appropriate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.NS.A.3
Solve real-world and mathematical problems involving the four operations with rational numbers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4. Ratios and proportional reasoning","6.RP.A.3
Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.","Use ratios to describe problem situations","Holding a rigid understanding of proportionality – absolute vs. relative","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.RP.A.1
Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.","","Inability to recognize ratios can represent the same units or different units","Singh, P. (2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.RP.A.1
Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.","Use fractions to represent and express ratios and proportions   ","Confusion with ratios written as quotients","Bush, S. (2011)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.RP.A.2
Understand the concept of a unit rate a/b associated with a ratio a:b with b is not equal to 0, and use rate language in the context of a ratio relationship.","","Lack of recognition of the different ways a ratio can be written – equivalent ratios and complex ratios","Ojose. B. (2015)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.RP.A.2
Recognize and represent proportional relationships between quantities.","Use proportional reasoning to model and solve problems (including rates and scaling)     ","Inability to unitize","Singh, P. (2000).","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Inability to recognize that ratios are a relationship between two quantities","De Bock, D., Van Dooren, W., Verschaffel, L., & Janssens, D. (2002)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.RP.A.3
Use proportional relationships to solve multistep ratio and percent problems.","Solve problems involving percentages (including percent increase and decrease, interest rates, tax, discount, tips, or part/whole relationships)
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5. Properties of number and operations","","Describe odd and even integers and how they behave under different operations	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.NS.B.4
Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.","Recognize, find, or use factors, multiples or prime factorization.	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Recognize or use prime and composite numbers to solve problems	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Use divisibility or remainders in problem settings	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Apply basic properties of operations
","Believing that the commutative and associative properties are true for subtraction and division","Warren (2003)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Not knowing what sign to put on the sum involving adding a positive and negative number","Ashlock (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Making the sum of two negatives a positive","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Not using place value concept to put the decimal in the correct place in the answer","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","When subtracting - not regrouping but instead taking the smaller number minus the larger (reversing order)","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Placing the decimal point in the incorrect place when multiplying - multiple reasons","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Using faulty reasoning for performing order of operations such as performing operations left to right","Linchevski, L., & Livneh, D. (1999)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Algebra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1. Patterns, relationships, and functions","","Recognize, describe, or extend numerical and geometric patterns using tables, graphs, words, or symbols.	","Difficulty depicting key aspects and relationships in pattern","Scheuermann and van Garderen (2008)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Generalize a pattern appearing in a numerical sequence, table or graph using words or symbols.	","Difficulty accurately representing a problem using graphic notation or they do not understand the purpose of representation","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Difficulty interpreting graph-scale","Sarah B. Bush (2011)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Analyze or create patterns, sequence, or linear functions given a rule	","Not understanding a linear function represents a rate of change or not connecting linearity and proportionality","Lobato 2010","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Confusion representing linear and exponential functions","LA Kasmer, OK Kim (2012)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.F.A.3
Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.","Identify functions as linear or nonlinear or contrast distinguishing properties of function from tables, graphs, or equations.	","Lack of recognition of the inconsistency between the positive slope of the line and the negative slope in the equation.","Kalchman, M., & Koedinger, K. R. (2005)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.F.A.2
Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Lacking understanding of and not seeing the connection between multiple representations of functions","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Interpret the meaning of slope or intercepts in linear functions	","Misunderstanding the proportionality (or non-proportionality) of linear functions. Students often believe that linear functions are proportional simply because they increase (or decrease) at a constant rate.","W Van Dooren, D De Bock, A Hessels, D Janssens (2004)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2. Algebraic representations
","","Translate between different representations of linear expression using symbols, graphs, tables diagrams, or written descriptions	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Analyze or interpret linear relationships expressed in symbols, graphs, tables, diagrams, or written descriptions	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Graph or interpret points represented by ordered pairs of numbers on a rectangular coordinate system	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Difficulty plotting points - reversed x- and y-coordinate","Swafford and Langrall, 2000","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Solve problems involving coordinate pairs on the rectangular coordinate system	","Difficulty understanding the concept of the independent and dependent variables ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Identify or represent functional relationships in meaningful context including proportional, linear, and common nonlinear (e.g., compound interest, bacterial growth) in tables, graphs, words, or symbols.	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3. Variables, expressions, and operations","","Write algebraic expressions, equations, or inequalities to represent a situation	","With expressions involving subtraction, students would incorrectly write an expression such as 4 - n instead of n - 4.","M. M. Capraro and Joffrion, 2006","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.EE.A.1
Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.","Perform basic operations, using appropriate tools, on linear algebraic expressions (including grouping and order of multiple operations involving basic operations, exponents, roots, simplifying, and expanding).
","Incorrectly viewing variables as labels or units or Believing that that the value of a variable has something to do with its position in the alphabet","Herscovics, N., & Kieran, C. (1980)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.EE.A.1
Know and apply the properties of integer exponents to generate equivalent numerical expressions.","","Believing that two variables in the same equation cannot represent the same value","MacGregor and Stacey (1997)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Failing to understand that variables can represent varying quantities","Asquith et al. (2007)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Believing that the commutative and associative properties are true for subtraction and division","Linchevski, L., & Livneh, D. (1999)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Topic","Common core","NAEP","Misconception","author","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4. Equations and inequalities
","7.EE.A.2
Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.","Solve linear equations or inequalities (e.g., ax +b = c or ac +b = cx +d or ax +b > c).	","Struggle with the multiple meanings and uses of variables","Asquith et al. (2007)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.EE.C.7
Solve linear equations in one variable.","","Difficulty with the syntax of algebraic notation","Novotna, J., & Hoch, M. (2008)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8.EE.C.8
Analyze and solve pairs of simultaneous linear equations.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.EE.A.4
        Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).","Interpret “=” as an equivalence between two expressions and use these interpretations to solve problems.
","Believing that the equal sign means “the answer is” rather than expressing a relationship","Baroudi (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.EE.B.5
Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.","","","L Linchevski, N Herscovics (1996)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7.EE.B.4
Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities.","Analyze situations or solve problems using linear equations and inequalities with rational coefficients symbolically or graphically (e.g., ax +b = c or ax +b = cx +b)	
","Not checking their solution or error in checking their solution","Perrenet & Wolters, 1994","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.EE.B.7
Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.","","Symbolic notation","Swafford & Langrall (2000)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","6.EE.B.8
Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.","","Reversal order error","Swan (2020)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Combining (or not combining) like term","Ashlock (2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Use and evaluate common formulas (e.g., relationship between a circle’s circumference and diameter [C = pi d], distance and time under constant speed).	","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
