US,,,,UK,,Differences,
"6.NS.A.1
Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem.","7.NS.A.1
Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.","8.NS.A.1
Know that numbers that are not rational are called irrational. Understand informally that every number has a decimal expansion; for rational numbers show that the decimal expansion repeats eventually, and convert a decimal expansion which repeats eventually into a rational number.",,"Consolidate their numerical and mathematical capability from key stage 2 and extend their understanding of the number system and place value to include decimals, fractions, powers and roots",,,"Explore what can and cannot be inferred in statistical and probabilistic settings, and begin to express their arguments formally."
Compute fluently with multi-digit numbers and find common factors and multiples:,"7.NS.A.2
Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers.","8.NS.A.2
Use rational approximations of irrational numbers to compare the size of irrational numbers, locate them approximately on a number line diagram, and estimate the value of expressions (e.g., pi²).",,Select and use appropriate calculation strategies to solve increasingly complex problems,,,
"6.NS.B.2
Fluently divide multi-digit numbers using the standard algorithm.","7.NS.A.3
Solve real-world and mathematical problems involving the four operations with rational numbers.",,,"Use algebra to generalise the structure of arithmetic, including to formulate mathematical relationships",,,
"6.NS.B.3
Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",,,,"Substitute values in expressions, rearrange and simplify expressions, and solve equations",,,
"6.NS.B.4
Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.",,,,"Move freely between different numerical, algebraic, graphical and diagrammatic representations [for example, equivalent fractions, fractions and decimals, and equations and graphs]",,,
Apply and extend previous understandings of numbers to the system of rational numbers:,,,,"Develop algebraic and graphical fluency, including understanding linear and simple quadratic functions",,,
"6.NS.C.5
Understand that positive and negative numbers are used together to describe quantities having opposite directions or values (e.g., temperature above/below zero, elevation above/below sea level, credits/debits, positive/negative electric charge); use positive and negative numbers to represent quantities in real-world contexts, explaining the meaning of 0 in each situation.",,,,"Use language and properties precisely to analyse numbers, algebraic expressions, 2-D and 3-D shapes, probability and statistics.",,,
"6.NS.C.6
Understand a rational number as a point on the number line. Extend number line diagrams and coordinate axes familiar from previous grades to represent points on the line and in the plane with negative number coordinates.",,,,"Page 4.
Reason mathematically:",,,
"6.NS.C.7
Understand ordering and absolute value of rational numbers.",,,,"Extend their understanding of the number system; make connections between number relationships, and their algebraic and graphical representations",,,
"6.NS.C.8
Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.",,,,"Extend and formalise their knowledge of ratio and proportion in working with measures and geometry, and in formulating proportional relations algebraically",,,
,,,,Identify variables and express relations between variables algebraically and graphically,,,
,,,,Make and test conjectures about patterns and relationships; look for proofs or counter-examples,,,
,,,,"Begin to reason deductively in geometry, number and algebra, including using geometrical constructions",,,
,,,,"Interpret when the structure of a numerical problem requires additive, multiplicative or proportional reasoning",,,
,,,,"Explore what can and cannot be inferred in statistical and probabilistic settings, and begin to express their arguments formally.",,,
,,,,"Page 5.
Solve problems:",,,
,,,,"Develop their mathematical knowledge, in part through solving problems and evaluating the outcomes, including multi-step problems",,,
,,,,"Develop their use of formal mathematical knowledge to interpret and solve problems, including in financial mathematics",,,
,,,,Begin to model situations mathematically and express the results using a range of formal mathematical representations,,,
,,,,"Select appropriate concepts, methods and techniques to apply to unfamiliar and non-routine problems.",,,
,,,,,,,
Geometry:,,,,"Page 8.
Geometry and measures",,Geometry:,"Page 8.
Geometry and measures"
"Solve real-world and mathematical problems involving area, surface area, and volume:","Solve real-life and mathematical problems involving angle measure, area, surface area, and volume.","Understand congruence and similarity using physical models, transparencies, or geometry software.",,"Derive and apply formulae to calculate and solve problems involving: perimeter and area of triangles, parallelograms, trapezia, volume of cuboids (including cubes) and other prisms (including cylinders)",,"7.G.B.4
Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.","Derive and apply formulae to calculate and solve problems involving: perimeter and area of triangles, parallelograms, trapezia, volume of cuboids (including cubes) and other prisms (including cylinders)"
"6.G.A.1
Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems.","7.G.B.4
Know the formulas for the area and circumference of a circle and use them to solve problems; give an informal derivation of the relationship between the circumference and area of a circle.","8.G.A.1
Verify experimentally the properties of rotations, reflections, and translations:",,"Calculate and solve problems involving: perimeters of 2-D shapes (including circles), areas of circles and composite shapes",,Aims to teach how to use what has been learned in real-world problems,
"6.G.A.2
Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = l w h and V = b h to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems.","7.G.B.5
Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.","8.G.A.2
Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.",,"Draw and measure line segments and angles in geometric figures, including interpreting scale drawings",,"8.G.A.2
Understand that a two-dimensional figure is congruent to another if the second can be obtained from the first by a sequence of rotations, reflections, and translations; given two congruent figures, describe a sequence that exhibits the congruence between them.","Use the standard conventions for labelling the sides and angles of triangle ABC, and know and use the criteria for congruence of triangles"
"6.G.A.3
Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.","7.G.B.6
Solve real-world and mathematical problems involving area, volume and surface area of two- and three-dimensional objects composed of triangles, quadrilaterals, polygons, cubes, and right prisms.","8.G.A.3
Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",,"Derive and use the standard ruler and compass constructions (perpendicular bisector of a line segment, constructing a perpendicular to a given line from/at a given point, bisecting a given angle); recognise and use the perpendicular distance from a point to a line as the shortest distance to the line",,"8.G.A.1
Verify experimentally the properties of rotations, reflections, and translations:","Identify properties of, and describe the results of, translations, rotations and reflections applied to given figures"
"6.G.A.4
Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.","Draw, construct, and describe geometrical figures and describe the relationships between them:","8.G.A.4
Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two-dimensional figures, describe a sequence that exhibits the similarity between them.",,"Describe, sketch and draw using conventional terms and notations: points, lines, parallel lines, perpendicular lines, right angles, regular polygons, and other polygons that are reflectively and rotationally symmetric",,"Draw, construct, and describe geometrical figures and describe the relationships between them:","Describe, sketch and draw using conventional terms and notations: points, lines, parallel lines, perpendicular lines, right angles, regular polygons, and other polygons that are reflectively and rotationally symmetric"
,"7.G.A.1
Solve problems involving scale drawings of geometric figures, including computing actual lengths and areas from a scale drawing and reproducing a scale drawing at a different scale.","8.G.A.5
Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",,"Use the standard conventions for labelling the sides and angles of triangle ABC, and know and use the criteria for congruence of triangles",,"7.G.A.3
Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids.","Use the properties of faces, surfaces, edges and vertices of cubes, cuboids, prisms, cylinders, pyramids, cones and spheres to solve problems in 3-D"
,"7.G.A.2
Draw (freehand, with ruler and protractor, and with technology) geometric shapes with given conditions. Focus on constructing triangles from three measures of angles or sides, noticing when the conditions determine a unique triangle, more than one triangle, or no triangle.",Understand and apply the Pythagorean Theorem:,,"Derive and illustrate properties of triangles, quadrilaterals, circles, and other plane figures [for example, equal lengths and angles] using appropriate language and technologies",,"8.G.A.5
Use informal arguments to establish facts about the angle sum and exterior angle of triangles, about the angles created when parallel lines are cut by a transversal, and the angle-angle criterion for similarity of triangles.",
,"7.G.A.3
Describe the two-dimensional figures that result from slicing three-dimensional figures, as in plane sections of right rectangular prisms and right rectangular pyramids.","8.G.B.6
Explain a proof of the Pythagorean Theorem and its converse.",,"Identify properties of, and describe the results of, translations, rotations and reflections applied to given figures",,,"Apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles"
,,"8.G.B.7
Apply the Pythagorean Theorem to determine unknown side lengths in right triangles in real-world and mathematical problems in two and three dimensions.",,"Identify and construct congruent triangles, and construct similar shapes by enlargement, with and without coordinate grids",,,Understand and use the relationship between parallel lines and alternate and corresponding angles
,,"8.G.B.8
Apply the Pythagorean Theorem to find the distance between two points in a coordinate system.",,"Apply the properties of angles at a point, angles at a point on a straight line, vertically opposite angles",,"7.G.B.5
Use facts about supplementary, complementary, vertical, and adjacent angles in a multi-step problem to write and solve simple equations for an unknown angle in a figure.",
,,"Solve real-world and mathematical problems involving volume of cylinders, cones, and spheres:",,Understand and use the relationship between parallel lines and alternate and corresponding angles,,"8.G.A.3
Describe the effect of dilations, translations, rotations, and reflections on two-dimensional figures using coordinates.",
,,"8.G.C.9
Know the formulas for the volumes of cones, cylinders, and spheres and use them to solve real-world and mathematical problems.",,"Derive and use the sum of angles in a triangle and use it to deduce the angle sum in any polygon, and to derive properties of regular polygons",,"6.G.A.4
Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.",
,,,,"Apply angle facts, triangle congruence, similarity and properties of quadrilaterals to derive results about angles and sides, including Pythagoras’ Theorem, and use known results to obtain simple proofs",,,Interpret mathematical relationships both algebraically and geometrically.
,,,,Use Pythagoras’ Theorem and trigonometric ratios in similar triangles to solve problems involving right-angled triangles,,,
,,,,"Use the properties of faces, surfaces, edges and vertices of cubes, cuboids, prisms, cylinders, pyramids, cones and spheres to solve problems in 3-D",,,
,,,,Interpret mathematical relationships both algebraically and geometrically.,,,
,,,,,,,
Statistics and Probability:,,,,"Page 9.
Statistics:",,Statistics and Probability:,"Page 9.
Statistics:"
Develop understanding of statistical variability:,Use random sampling to draw inferences about a population:,Investigate patterns of association in bivariate data:,,"Describe, interpret and compare observed distributions of a single variable through: appropriate graphical representation involving discrete, continuous and grouped data; and appropriate measures of central tendency (mean, mode, median) and spread (range, consideration of outliers)",,"8.SP.A.1
Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.","Describe, interpret and compare observed distributions of a single variable through: appropriate graphical representation involving discrete, continuous and grouped data; and appropriate measures of central tendency (mean, mode, median) and spread (range, consideration of outliers)"
"6.SP.A.1
Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.","7.SP.A.1
Understand that statistics can be used to gain information about a population by examining a sample of the population; generalizations about a population from a sample are valid only if the sample is representative of that population. Understand that random sampling tends to produce representative samples and support valid inferences.","8.SP.A.1
Construct and interpret scatter plots for bivariate measurement data to investigate patterns of association between two quantities. Describe patterns such as clustering, outliers, positive or negative association, linear association, and nonlinear association.",,"Construct and interpret appropriate tables, charts, and diagrams, including frequency tables, bar charts, pie charts, and pictograms for categorical data, and vertical line (or bar) charts for ungrouped and grouped numerical data",,"7.SP.C.8
Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation.","Construct and interpret appropriate tables, charts, and diagrams, including frequency tables, bar charts, pie charts, and pictograms for categorical data, and vertical line (or bar) charts for ungrouped and grouped numerical data"
"6.SP.A.2
Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape.","7.SP.A.2
Use data from a random sample to draw inferences about a population with an unknown characteristic of interest. Generate multiple samples (or simulated samples) of the same size to gauge the variation in estimates or predictions.","8.SP.A.2
Know that straight lines are widely used to model relationships between two quantitative variables. For scatter plots that suggest a linear association, informally fit a straight line, and informally assess the model fit by judging the closeness of the data points to the line.",,Describe simple mathematical relationships between two variables (bivariate data) in observational and experimental contexts and illustrate using scatter graphs.,,"8.SP.A.4
Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables.",Describe simple mathematical relationships between two variables (bivariate data) in observational and experimental contexts and illustrate using scatter graphs.
"6.SP.A.3
Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.",Draw informal comparative inferences about two populations:,"8.SP.A.3
Use the equation of a linear model to solve problems in the context of bivariate measurement data, interpreting the slope and intercept.",,"Page 9.
Probability:",,,"Enumerate sets and unions/intersections of sets systematically, using tables, grids and Venn diagrams"
Summarize and describe distributions:,"7.SP.B.3
Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.","8.SP.A.4
Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables.",,"8.SP.A.4
Understand that patterns of association can also be seen in bivariate categorical data by displaying frequencies and relative frequencies in a two-way table. Construct and interpret a two-way table summarizing data on two categorical variables collected from the same subjects. Use relative frequencies calculated for rows or columns to describe possible association between the two variables.",,,"Generate theoretical sample spaces for single and combined events with equally likely, mutually exclusive outcomes and use these to calculate theoretical probabilities."
"6.SP.B.4
Display numerical data in plots on a number line, including dot plots, histograms, and box plots.","7.SP.B.4
	Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.",,,Understand that the probabilities of all possible outcomes sum to 1,,"7.SP.C.5
Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event.",
"6.SP.B.5
Summarize numerical data sets in relation to their context","Investigate chance processes and develop, use, and evaluate probability models:",,,"Enumerate sets and unions/intersections of sets systematically, using tables, grids and Venn diagrams",,,
,"7.SP.C.5
Understand that the probability of a chance event is a number between 0 and 1 that expresses the likelihood of the event occurring. Larger numbers indicate greater likelihood. A probability near 0 indicates an unlikely event, a probability around 1/2 indicates an event that is neither unlikely nor likely, and a probability near 1 indicates a likely event.",,,"Generate theoretical sample spaces for single and combined events with equally likely, mutually exclusive outcomes and use these to calculate theoretical probabilities.",,,
,"7.SP.C.6
Approximate the probability of a chance event by collecting data on the chance process that produces it and observing its long-run relative frequency, and predict the approximate relative frequency given the probability.",,,,,,
,"7.SP.C.7
Develop a probability model and use it to find probabilities of events. Compare probabilities from a model to observed frequencies; if the agreement is not good, explain possible sources of the discrepancy.",,,,,,
,"7.SP.C.8
Find probabilities of compound events using organized lists, tables, tree diagrams, and simulation.",,,,,,
