,,,,,,,,,,,,,
,Topic,Common Core,,,NAEP 8th 2022,,,Misconceptions,,,,Gap,
,,,,,"Multiply.

4.9 x 1.5 = ","Correct:

Answer of 7.35",,"Ashlock (2006)

A. 4/5 + 2/3 = 6/8
B. 1/4 + 2/3 = 3/7
C. 7/8 + 5/6 = 12/14
D. 3/7 + 1/2 = 4/9",Question/ Answer,"Ashlock (2006)

A.
   1/2 = 1/4
+ 1/4 = 1/4
   ----     ----
             2/4

B. 
   2/5 = 2/10
+ 1/2 = 1/10
   ----     ----
            3/10

C.
   3/5 = 3/15
+ 1/3 = 1/15
   ----     ----
            4/15",,,
,,,,,,,,,"Question/
Answer","Ashlock (2006)

A. 3/4 + 2/3 = 5/12
B. 6/8 + 1/3 = 7/24
C. 2/3 + 5/6 = 7/18
D. 3/5 + 2/3 = 5/16 = 1/3",,,
,,,,,,,,5E.Subtracted mixed numbers without necessary regrouping and instead subtracting the smaller number from the larger,,6E. Regrouped incorrectly – either by mistakenly using base ten reasoning or some other error,,,
,,,,,,,,"Ashlock (2006)

A. 
    7 1/2
 - 3
 ----------
   4 1/2

B.
    8 1/3
  -    2/3
 ----------
   4 1/2

C.
    6
  - 1 1/4
 ----------
     5 1/4

D.
    3 1/4
  - 2 3/4
 ----------
    1 2/4",Question/ Answer,"Ashlock (2006)

A.
  2 3/4 = 2 11/4
- 1 1/2 = 1 3/4
---------------------
              1 8/4

B.
  11 1/6 = 11 67/48
- 3 7/8   =  3 31/48
-------------------------
                 8 36/48

C.
  9 1/3 = 9 28/3
-    2/3 =     2/3
---------------------
               9 26/3",,,
,,,,,,,,,Question/ Answer,"A.
8 3/4 - 6 1/8 = 2 2/4

B.
5 3/8 - 2 2/3 = 3 1/5

C.
9 1/5 - 1 3/8 = 8 2/3

D.
7 2/5 - 4 7/10 = 3 5/5",,,
,,,,,,,,7E. Multiplied fractions incorrectly by cross-multiplying (as if solving a proportion) and then applied an invented algorithm to get the answers (such as adding the sum of the two cross multiplications),,8E. Incorrectly changing a whole number into a fraction ,,,
,,,,,,,,"Ashlock (2006)

A.
4/5 x 3/4 = 166

B.
1/2 x 3/8 = 68

C.
2/9 x 1/5 = 100

D.
2/3 x 4/6 = 132",Question/ Answer," Ashlock (2006)

changing the whole number 6 into 6/6 instead of 6/1",,,
,,,,,,,,"Ashlock (2006)

A.
1/8 x 1 = 1/8

B.
2/3 x 3 = 6/9

C.
1/4 x 6 = 6/24

D.
4/5 x 2 = 8/10",,-,,,
,,,,,,,,9E. Divided fractions incorrectly by dividing the numerators and then dividing the denominators (overgeneralizing whole number operations),,10E. Applied only part of the “invert and multiply” algorithm – student may remember to multiply but forget to invert the second fraction,,,
,,,,,,,,"Ashlock (2006)

A.
4/6 ÷ 2/2 = 2/3

B.
6/8 ÷ 2/8 = 3/1

C.
6/10 ÷ 2/4 = 3/2

D.
7/5 ÷ 3/2 = 2/2",Question/ Answer,"Brown, G., & Quinn, R. J. (2006)

                                        5
                                         -
C. Find the sum   7 + 5    6
                            ------- + -
                            3 + 5    5
                                        -
                                        3",,,
,,,,,,,,11E. Ignored place value concepts to put the decimal in the answer,,,,,
,,,,,,,,"Ashlock (2006)

A.
87 - .31= ?

 87
-   .31
---------
 87.31

B.
99.4 - 27.86= ?

  99.4
- 27.86
----------
  71.66

C.
200 - .65= ?

  200
-      .65
----------
  200.65",Question/ Answer,,,,
,,,,,,,,12E. Placed the decimal point in the incorrect place when multiplying or dividing,,,,,
,,,,,,,,"Ashlock (2006)

A.
 $6.45
x     3
--------
$19.35

B.
  32.7
x    .5
--------
 16.35

C.
  21.8
x    .4
--------
  87.2

D.
  4.35
x 2.3
--------
1305
870
--------
100.05",Question/ Answer,"Ashlock (2006)

A.
23.5 ÷ 6

= 18
------------
     55
     54
    -----
       1

= 3.91

B.
38.6 ÷ 4

= 36
------------
      26
      24
    -----
       2

= 9.62

C.
8.24 ÷ 5

= 5
------------
    32
    30
    ------
       24
       20
      -----
         4

= 1.644
",,,
,,,,,,,,Not knowing what sign to put on the sum involving adding a positive and negative number,,Making the sum of two negatives a positive,,,
,,,,,,,,"Ashlock (2006)

A. -8 + 6 = -2
B. 5 + -9 = 4
C. 7 + -2 = 5
D. -4 + 10 = -6",Question/ Answer,"Ashlock (2006)

A. -6 + -8 = 2
B. -8 + -3 = -5
C. 4 + -3 = 7
D. -2 + -5 = 3",,,
,,,,,,,,Making the sum of two negatives a positive,,Not using place value concept to put the decimal in the correct place in the answer,,,
,,,,,,,,"Ashlock (2006)

A. 3 - (-4) = 7
B. -6 + 2 = 8
C. 7 + -2 = 5
D. -5 - 4 = 9",Question/ Answer,"Ashlock (2006)

A.            B.           C.            D.
   .8             .6          .4             .5
+ .4          + .9       + .3          + .8
------         ------       ------       -------
  .12           .15         .7            .13",,,
,,,,,,,,When subtracting - not regrouping but instead taking the smaller number minus the larger (reversing order),,Placing the decimal point in the incorrect place when multiplying - multiple reasons,,,
,,,,,,,,"Ashlock (2006)

A.                       B.                                   C.
87 - .31 = ?          99.4 - 27.86 = ?               200 - .65 = ?

  87                            99.4                                200
-    .31                     - 27.86                             -      .65
---------                   ------------                         -------------
 87.31                       71.66                               200.65",Question/ Answer,"Ashlock (2006)

A.               B.              C.                 D.
$6.45            32.7           21.8              4.35
x     3           x   .5          x    .4          x    2.3
--------         --------        ----------       ------------
$19.35          16.5            87.2             1305
                                                              870
                                                       -----------
                                                        100.05",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"6.NS.B.2
Fluently divide multi-digit numbers using the standard algorithm.","7.NS.A.2
Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers.",,Describe the effect of multiplying and dividing by numbers including the effect of multiplying or dividing a rational number by: ,"Zero, or",,,,,,,
,,,,,,"• A number less than zero, or",,,,,,,
,,,,,,• A number between zero and one,,,,,,,
,,"6.NS.B.3
Fluently add, subtract, multiply, and divide multi-digit decimals using the standard algorithm for each operation.",,,,"• One, or",,,,,,,
,,,,,,• A number greater than one.,,,,,,,
,,,,,,,,,,,,,
,,"6.NS.A.1
Interpret and compute quotients of fractions, and solve word problems involving division of fractions by fractions, e.g., by using visual fraction models and equations to represent the problem.",,,Interpret rational number operations and the relationships between them,,,,,,,,
,,,,,,,,,,,,,
,,"6.NS.C.8
Solve real-world and mathematical problems by graphing points in all four quadrants of the coordinate plane. Include use of coordinates and absolute value to find distances between points with the same first coordinate or the same second coordinate.","7.NS.A.3
Solve real-world and mathematical problems involving the four operations with rational numbers.",,Solve application problems involving rational numbers and operations using exact answers or estimates as appropriate,,,,,,,,
,,,,,Sample Question 2017,Answer ,,,,,,,
,,,,,Jared wants to buy a jacket that has a price of $49.99. He has a coupon for a discount of 30 percent off the price of the jacket. What is the price of the jacket after the 30 percent discount? A. $14.99 B. $19.99 C. $34.99 D. $48.49 E. $49.89,"The correct answer is:

C. $34.99",,,,,,,12
,,,,,,,,,,,,,
,4. Ratios and proportional reasoning,"6.RP.A.3
Use ratio and rate reasoning to solve real-world and mathematical problems, e.g., by reasoning about tables of equivalent ratios, tape diagrams, double number line diagrams, or equations.","6.RP.A.1
Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.",,Use ratios to describe problem situations,,,1M. Holding a rigid understanding of proportionality – absolute vs. relative,,,,Problem setting,
,,,,,,,,Jaden and Jada both think they found the best sale on Joly Ranchers. Jade bought 2 Jolly Ranchers for 3 cents. Jada bought 3 Jolly Ranchers for 5 cents. Write a ratio for Jaden's sale. Write a ratio for Jada's sales. Are these ratios equivalent?,Question,,,,
,,,,,,,,"Students are often mistakenly taught to think of ratios only as a fractions (e.g. 3/4) representing a part-whole relationship. This oversimplified understanding causes students to be inflexible in moving back and forth between different meanings of ratios where 3/4 can mean a part/whole, part/part, or a whole/part relationship",Answer,,,,
,,,,,,,,2M. Inability to recognize ratios can represent the same units or different units,,,,,"Kilpatrick, J., Swafford, J. O., & Findell, B. (2001)

comparison of two rates, 8 miles every 10 minutes and 20 miles every 25 minutes"
,,,,,Sample Question 2022,Answer ,,"Singh, P. (2000).

In baking a cake, for every 8 eggs, one needs 18 cups of flour.If Mary has
4 cups of flour,how many eggs does she need?",Question,,,,only 12% of eighth-grade students could solve it
,,,,,"There are 8 students playing in the school yard. There are 3 girls and the rest of the students are boys. What is the ratio of girls to boys?

A. 3 to 5
B. 5 to 3
C. 5 to 8
D. 8 to 3
e. 8 to 5",A. 3 to 5,,"Correct answer given: 1.5 eggs. She used the unit method and computed 18 divided by 8 to match 1 cup
with the numberof eggs. She did it mentallyandobtained2.25 (which was
actually 1 egg with 2.25 cups).
When she multiplied 2,25 by 4 she found the result of 18 puzzling.
""Thatcan't be!"" she said. Then she utilized the scalar method and com-
puteda division of 18 by 4 which was 4.5.
She wrote:
4.5 cups with 2 eggs
4 cups with 1.5 eggs (as both cups and eggs are lesser by 1/2)
She utilizedthe additivestrategy.This seemedto indicatethatoverreliance
on the unit strategytended to confuse Alice. When she tried to reason
ratherthanfollow a procedure,she thoughtadditively",Answer,,,,
,,,,,,,,"To bake 6 cakes, you need 15 eggs. Using the same recipe, how
many eggs do you need to bake 4 cakes?",,,,,
,,,,,,,,"She quickly solved it mentally and gave the answer 10 eggs.
R: Can you explain?
K: In 2, 4, 6 therearethreeand all aretimes 2. Then 15 divides 3 because 1,2,3,
got three2 cakes - 5 eggs, 4 cakes - 10 eggs, and 6 cakes you need 15 eggs.
R: How do you know thatfor 2 cakes you need 5 eggs?
K: Because I divided 6 cakes and 15 eggs by 3.
R: Why did you divide by 3?
K: Because in 2, 4, 6 thereare one, two, three,so I dividedby 3
Initially, she looked at the relationship between 6 and 4 and then said in 2,
4, 6 there are three. This was an intriguing construction because ""in 2, 4, 6
there are three so I divided by 3"" seems to indicate that she constructed a
scheme in which the composite unit consisted of three ratio units. It means
that:
1: 2 cakes - 5 eggs
2: 4 cakes - 10 eggs
3: 6 cakes - 15 eggs
I inferred that this shows that she was able to coordinate unit (1st ratio) of
unit (cake) of unit (eggs) simultaneously. She treated 2 to 5 as a ratio unit
and iterated it to obtain her response.",,,,,
,,,,,,,,,,,,,
,,"7.RP.A.1
Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.","6.RP.A.2
Understand the concept of a unit rate a/b associated with a ratio a:b with b is not equal to 0, and use rate language in the context of a ratio relationship.",,Use fractions to represent and express ratios and proportions,,,3M. Confusion with ratios written as quotients,,4M. Lack of recognition of the different ways a ratio can be written – equivalent ratios and complex ratios,,Fraction -> ratios and proportions,
,,,,,,,,"Bush, S. (2011)

the ratio of 12 girls in a class of20 students could be written as 12/20, 12:20, or 12 to 20 if writing as a part/whole ratio. However, if asked to compare the number of girls to boys in the class, the ratio could be written as 12/18, 12: 18 or 12 to 18",Question,"Ojose. B. (2015)

""Write how much is 2 hits out of 5 at-bats followed by 3 hits out of 7 at-bats"" ",,,
,,,,,,,,,Answer,yields 5 hits out of 12 at-bats,,,
,,,,,,,,,,,,,
,,"7.RP.A.2
Recognize and represent proportional relationships between quantities.",,,Use proportional reasoning to model and solve problems (including rates and scaling),,,5M. Inability to unitize,,6M. Inability to recognize that ratios are a relationship between two quantities,,Problem setting,
,,,,,,,,"Singh, P. (2000).

John used exactly 15 cans to paint 18 chairs.How many chairscan he paint with 25 cans?",Question,"De Bock, D., Van Dooren, W., Verschaffel, L., & Janssens, D. (2002)

Bart is publicity painter. In the last few days, he had to paint Christmas decorations on several store windows. Yesterday, he made a drawing of a 56 cm high Father Christmas on the door of a bakery. He needed 6 ml paint. Now he is asked to make an enlarged version of the same drawing on a supermarket window. This copy should be 168 cm high. How much paint will Bart approximately need to do this?",,,
,,,,,,,,"810 chairs. 18 + 18 + 18= 54 cans 20 cans - 162 chairs(she got this by multiplyingit by 3) 25 cans - 810 chairs (The algorithmic procedureson her working paper were: 162+162+162+162+162= 810) Alice was not able to construct a composite unit consisting of 15 to 18. Her reasoning seemed to be based on additive reasoning rather than multiplic- ative reasoning where each subsequent ratio is added on to the previous one. She was not able to unite a sequence of counting acts into composite units. Her 'adding' iteration was schematized as a ratio unit of 1 can to 18 chairs, where for each additional can, she added 18 chairs",Answer,-,,,
,,,,,Sample Question 2017,Answer ,,,,,,,
,,,,,"Sebastian is making lemonade. His recipe requires 750 grams of sugar to make 20 liters of lemonade. Sebastian wants to make 12 liters of lemonade. How many grams of sugar does Sebastian need to maintain the same ratio of sugar to lemonade as his recipe? A. 32 grams B. 450 grams C. 670 grams D. 1,250 grams E. 8,800 grams","The correct answer is:

B. 450 grams",,,,,,,
,,,,,,,,,,,,,
,,"7.RP.A.3
Use proportional relationships to solve multistep ratio and percent problems.",,,"Solve problems involving percentages (including percent increase and decrease, interest rates, tax, discount, tips, or part/whole relationships)",,,,,,,Percentages,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,5. Properties of number and operations,,,,Describe odd and even integers and how they behave under different operations,,,,,,,,
,,,,,,,,,,,,,
,,"6.NS.B.4
Find the greatest common factor of two whole numbers less than or equal to 100 and the least common multiple of two whole numbers less than or equal to 12. Use the distributive property to express a sum of two whole numbers 1–100 with a common factor as a multiple of a sum of two whole numbers with no common factor.",,,"Recognize, find, or use factors, multiples or prime factorization.",,,,,,,,
,,,,,,,,,,,,,
,,,,,Recognize or use prime and composite numbers to solve problems,,,,,,,,
,,,,,,,,,,,,,
,,,,,Use divisibility or remainders in problem settings,,,,,,,,
,,,,,,,,,,,,,
,,,,,Apply basic properties of operations,,,1M. Believing that the commutative and associative properties are true for subtraction and division,,2M. Using faulty reasoning for performing order of operations such as performing operations left to right,,List of properties of operations?,
,,,,,,,,"Warren (2003)

a. Find the missing number 23 = 2 + 5 + + 4 + 6 b. Find the missing numbers 23 = 1 + 5 + 3 + + 2 + ∆ c. Write some other sums that add to 23. d. How many can you write?",Question,"Linchevski, L., & Livneh, D. (1999)

1. 5 + 6 × 10 =
2. 17 − 3 × 5 =
3. 8 × (5 + 7) =
4. 27 − 5 + 3 
5. 24 ÷ 3 × 2 =",,,
,,,,,,,,"There was little difference between students' ability to find one unknown or two unknowns in an equation. An examination of the scripts indicated that most of the incorrect responses were due to simple computational errors. For example, for the second equation common responses for the unknowns were 6 and 5. An examination of the scripts indicated that nearly all of the students who answered the question used two whole numbers to create other sums that add to 23. Only 15 students included decimal numbers in their responses and all of these students created at least 20 more examples. When asked ""How many can you write?"" only 5% stated that ""they could go on forever"". Seventeen percent indicated that they could write ""many"" or ""lots"". The rest of the sample provided a finite number of explicit solutions (44%) or simply failed to respond (34%). Overall, only one hundred and eight students (16%) correctly found the missing numbers, wrote some other sums that added to 23, and stated that they could write lots/many or an infinite number of examples.

Percentage Responses to: ""Find the missing numbers."" : correct Incorrect No Response 23 = 2 + 5 + + 4 + 6 455 (67%) 65 (10%) 162 (24%) 23 = 1 + 5 + 3 + + 2 + ∆ 433(64%) 76(11%) 163(25%) Table 2. Percentage Responses to: ""Write some other sums that add to 23."" No. of sums provided 0 154 (24%) 1 - 4 289 (43%) 5 - 9 78 (14%) 131 (19%)",Answer,"It was with the last two expressions that we tested the possibility of detachment. A sizable number of children added (5 + 3) before subtracting and multiplied (3 x 2) before dividing. One possible explanation might be that they have generalized incorrectly the rule for the order of operations and believe that addition takes precedence over subtraction and multiplication over division (e.g., in many textbooks we find that the order of operations is given as: Brackets first then 'Of', Multiplication, Division, Addition and Subtraction, often referred to as BOMDAS). Another explanation by one of the children re- flected another incorrect generalization, namely, ""Addition and subtraction are at the same level, so we choose what to do first as is more convenient"". One possible explanation might be that they have generalized incorrectly the rule for the order of operations and believe that addition takes precedence over subtraction and multiplication over division.

Question 3 was answered correctly by all students, as they knew that the
 bracketed operation had to be performed first.

Many students who evaluated the expressions incorrectly
 were steadfast. As one of the students who was unshakeable stated, ""All
 the years I was taught that you first multiply. It's easier this way'"". An overall look at the questions gave us four groups of students: (1) correct in all questions, 26%; (2) detachers in all questions, 26%; (3) sequential readers, 24%; and (4) others, 24%",,,
,,,,,,,,,,,,,
,6) Mathematical reasoning using number,,,,"Explain or justify a mathematical concept or relationship (e.g., explain why 17 is prime).",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Provide a mathematical argument to explain operations with two or more fractions.,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Algebra,,,,,,,,,,,,
,"1. Patterns, relationships, and functions",,,,"Recognize, describe, or extend numerical and geometric patterns using tables, graphs, words, or symbols.",,,1E. Difficulty depicting key aspects and relationships in pattern,,,,,
,,,,,Sample Question 2017,Answer,,"Scheuermann and van Garderen (2008)

Kyle and Andrew have the same number of candies. Kyle has a bowl of candies and 4 additional candies. Andrew has 14 candies. How many candies are in Kyle's bowl?",Problem,,,,
,,,,,,,,"Student may or not understand the problem, seems to have difficulty generating an accurate representation of of all the key components and using graphic notation to demostrate relationships, or may have a limited understanding of the purpose of representation",Answer,,,"The student either did not have or did not
apply knowledge for interpreting key features (e.g., increasing or decreas-
ing) of different function representations (e.g., graph, equation, table) and
for using strategies for checking the consistency of these interpretations (e.g.,
all should be increasing)",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,"Generalize a pattern appearing in a numerical sequence, table or graph using words or symbols.",,,3E. Difficulty accurately representing a problem using graphic notation or they do not understand the purpose of representation,,,,,
,,,,,Sample Question 2022,Answer,,"Scheuermann and van Garderen (2008)

Joe rode his bike 2 miles to the bus station. He then boarded a bus that took himm 12.5 miles. When he got off the bus, he walked 1 more mile to get to his to his friend's house. How far did Joe travel in all?",Problem,,,,
,,,,,,,,,Aswer,,,,
,,,,,,,,"Does not undertand the purpose of a representation, may not understand the problem.

Missing key components: 12.5 miles by bus, 1 mile walked",,,,,
,,,,,,,,,,,,,
,,,,,,,,4E. Difficulty interpreting graph-scale. 60% ,,,,,
,,,,,Sample Question 2017,Answer,,Sarah B. Bush (2011),Question,,,,
,,,,,,,,,,,,,
,,,,,,,,"For the 50% who had the correct answer and incorrect or blank explanation there were a variety of explanations including: no explanation (5%), it (the yaxis) increases by small numbers making it looker bigger than big numbers (5%), the graph is shortened in the corner (5%), the graph starts at 8,000 (15%), disagrees that it appears that there are three times as many on day two than on day one (5%), only mentions heights of the bars (5%), only mentions the increments of 125 (5%), and does not mention the break (5%). For the 10% that also had the incorrect answer along with the incorrect explanation the responses incorrectly stated that the y-axis increases by increments of 150 (instead of 125) (5%), and day two was shaded high (5%). All of these incorrect explanations can be directed back to the fact that the student lacked some understanding or awareness of the discontinuous scale on the y-axis",Answer,,,,
,,,,,,,,,,,,,
,,,,,"Analyze or create patterns, sequence, or linear functions given a rule",,,5. Not understanding a linear function represents a rate of change or not connecting linearity and proportionality,,,,,"graders, had been working with a context in which water was being"
,,,,,,,,"Lobato 2010

Chanise and Hector, both seventh
graders, had been working with a context in which water was being
pumped into a swimming pool. After having made sense of the con-
text, they were shown the graph. The graph indicates
that the pool held 6 gallons of water after 3 minutes, 10 gallons
after 5 minutes, and 18 gallons after 9 minutes. The students were
asked to find the slope of the line. Chanise correctly recorded the
slope formula as
m = rise/run",Question,,,,pumped into a swimming pool. After having made sense of the con-
,,,,,,,,,Answer,,,,"text, they were shown the graph in figure 2.4. The graph indicates"
,,,,,,,,6. Confusion representing linear and exponential functions,,,,,"after 5 minutes, and 18 gallons after 9 minutes. The students were"
,,,,,,,,"LA Kasmer, OK Kim (2012)

Explore growth of paper ballots as they are repeatedly cut in half. If Alejandro makes ten cuts, can you predict how many ballots Alejandro might have? What is your reasoning?",Question,,,,asked to find the slope of the line. Chanise correctly recorded the
,,,,,,,,"A student responded:
Yes. If you set up an equation like 2x then you put 10 in for jc and 2 times 10 equals 20 and find the answer 20. All you have to do is set up the equation. As is apparent from this example, the student relied solely on a mathematical calculation [multiplying 2 by 10] to arrive at the response to the prediction question.",Answer,,,,slope formula as
,,,,,,,,,,,,,m riseriseri
,,"8.F.A.3
Interpret the equation y = mx + b as defining a linear function, whose graph is a straight line; give examples of functions that are not linear.","8.F.A.2
Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions).",,"Identify functions as linear or nonlinear or contrast distinguishing properties of function from tables, graphs, or equations.",,,,,2E. Lack of recognition of the inconsistency between the positive slope of the line and the negative slope in the equation.,,,run
,,,,,Sample Question 2022,Answer,,,Question,"Kalchman, M., & Koedinger, K. R. (2005)

Make a table of values that would produce the function",,,
,,,,,,,,,Answer,"First, and most superficially, the student (likely carelessly) mislabeled
the coordinate for the y-intercept (0, 3) rather than (0, –3). This led him to
make an error in calculating ∆y by subtracting 0 from 3 rather than from –3.
In so doing, he arrived at a value for the slope of the function that was
negative—an impossible solution given that the graph is of an increasing
linear function. This slip, by itself, is of less concern than the fact that the student did not recognize the inconsistency between the positive slope of
the line and the negative slope in the equation.",,,
,,,,,,,,,,,,,
,,,,,,,,7. Lacking understanding of and not seeing the connection between multiple representations of functions,,,,,
,,,,,,,,"Kalchman, M., & Koedinger, K. R. (2005). 
Make a table of values that would produce the function",Question,,,,
,,,,,,,,"An error in the student’s solution was that the
table of values does not represent a linear function. That is, there is not a
constant change in y for every unit change in x. The first three coordinates in
the student’s table were linear, but he then recorded (2.5, 0) as the fourth
coordinate pair rather than (3, 0), which would have made the function
linear. He appears to have estimated and recorded coordinate points by
visually reading them off the graph without regard for whether the final
table embodied linearity. Furthermore, the student did not realize that the
equation he produced, y = (– 3/2.5) x - 3 , translates not only into a decreasing line, but also into a table of numbers that decreases by 3
2 5 for every positive unit change in x.",Answer,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,Interpret the meaning of slope or intercepts in linear functions,,,"Kalchman, M., & Koedinger, K. R. (2005).

After having solved the equation 2 = 4x + 1 to get x = 1/4, she was asked
to the graph the function 4x + 1",Question,,,,
,,,,,,,,"She
responded as follows: “the slope, which is 4, . . . the y-intercept, which is
1,...and...the x-intercept, which is 1/4, so we’ve found everything.” Note
that IN said that to find “everything,” she needed the slope, y-intercept,
and x-intercept. In other words, she appeared to have a 3-slot schema for
understanding and graphing a linear equation instead of the 2-slot schema
described above. Schoenfeld and colleagues11
explain:
When a person knowledgeable about the domain determines that
the slope of a particular line is some value (say, 1. . .) and that its intercept
is some other value (say, 3), then the job is done. The equation of the line
must be y = (1)x + 3. IN had no such procedure. Although she believed
that the slope, x-intercept, and y-intercept were all important (and she
could read the values of the slope and y-intercept off equations of the
form y = mx + b), she did not have a stable procedure for determining the
values of those entities from a graph and did not know what to do with
the values when she had them.",Answer,,,,
,,,,,,,,,,,,,
